,index,start_date_time,title,price,ticket_url,type,venue
0,0,2023-08-08T20:00:00+02:00,Philippe Elan & Gregor Bak: Chansons!,26.0,https://www.concertgebouw.nl/en/concerts/2619143-philippe-elan-gregor-bak-chansons,Concert,concertgebouw
1,1,2023-08-09T20:00:00+02:00,Cremona Quartet plays Schubert's 'Death and the Maiden',32.0,https://www.concertgebouw.nl/en/concerts/2619144-cremona-quartet-plays-schuberts-death-and-the-maiden,Concert,concertgebouw
2,2,2023-08-10T20:00:00+02:00,Philippe Elan & Gregor Bak: Chansons!,26.0,https://www.concertgebouw.nl/en/concerts/2639189-philippe-elan-gregor-bak-chansons,Concert,concertgebouw
3,3,2023-08-11T19:30:00+02:00,Jawa Manla: Distant Roots - Basement Sessions,15.0,https://www.concertgebouw.nl/en/concerts/2626878-jawa-manla-distant-roots-basement-sessions,Concert,concertgebouw
4,4,2023-08-11T21:30:00+02:00,Jawa Manla: Distant Roots - Basement Sessions,15.0,https://www.concertgebouw.nl/en/concerts/2626879-jawa-manla-distant-roots-basement-sessions,Concert,concertgebouw
5,5,2023-08-12T20:00:00+02:00,Lean On Me: A Tribute to Bill Withers,29.0,https://www.concertgebouw.nl/en/concerts/2621643-lean-on-me-a-tribute-to-bill-withers,Concert,concertgebouw
6,6,2023-08-13T20:00:00+02:00,Jong Metropole: Let the Good Times Roll,25.0,https://www.concertgebouw.nl/en/concerts/2621644-jong-metropole-let-the-good-times-roll,Concert,concertgebouw
7,7,2023-08-15T19:00:00+02:00,Grachtenfestival: Nikola Meeuwsen & Friends,22.0,https://www.concertgebouw.nl/en/concerts/3464528-grachtenfestival-nikola-meeuwsen-friends,Concert,concertgebouw
8,8,2023-08-15T20:00:00+02:00,Renaud Capuçon plays Schumann's Violin Concerto,25.0,https://www.concertgebouw.nl/en/concerts/2621645-renaud-capuçon-plays-schumanns-violin-concerto,Concert,concertgebouw
9,9,2023-08-16T20:00:00+02:00,Elim Chan conducts Stravinsky's Firebird,25.0,https://www.concertgebouw.nl/en/concerts/2621646-elim-chan-conducts-stravinskys-firebird,Concert,concertgebouw
10,10,2023-08-17T20:00:00+02:00,An Evening with Fuse,26.0,https://www.concertgebouw.nl/en/concerts/2621647-an-evening-with-fuse,Concert,concertgebouw
11,11,2023-08-17T20:00:00+02:00,Simeon ten Holt's Canto ostinato,25.0,https://www.concertgebouw.nl/en/concerts/2619145-simeon-ten-holts-canto-ostinato,Concert,concertgebouw
12,12,2023-08-18T10:00:00+02:00,Family Concert: Vreemde Vogels (5+),16.0,https://www.concertgebouw.nl/en/concerts/2621374-family-concert-vreemde-vogels-5,Concert,concertgebouw
13,13,2023-08-18T12:00:00+02:00,Family Concert: Vreemde Vogels (5+),16.0,https://www.concertgebouw.nl/en/concerts/2621373-family-concert-vreemde-vogels-5,Concert,concertgebouw
14,14,2023-08-18T19:30:00+02:00,North Sea String Quartet - Basement Sessions,15.0,https://www.concertgebouw.nl/en/concerts/2632543-north-sea-string-quartet-basement-sessions,Concert,concertgebouw
15,15,2023-08-18T20:00:00+02:00,"Bizet's Carmen, Rodrigo's Concierto de Aranjuez and Ravel's Boléro",25.0,https://www.concertgebouw.nl/en/concerts/2621648-bizets-carmen-rodrigos-concierto-de-aranjuez-and-ravels-boléro,Concert,concertgebouw
16,16,2023-08-18T21:30:00+02:00,North Sea String Quartet - Basement Sessions,15.0,https://www.concertgebouw.nl/en/concerts/2632544-north-sea-string-quartet-basement-sessions,Concert,concertgebouw
17,17,2023-08-19T10:00:00+02:00,Family Concert: Vreemde Vogels (5+),16.0,https://www.concertgebouw.nl/en/concerts/2621375-family-concert-vreemde-vogels-5,Concert,concertgebouw
18,18,2023-08-19T12:00:00+02:00,Family Concert: Vreemde Vogels (5+),16.0,https://www.concertgebouw.nl/en/concerts/2621376-family-concert-vreemde-vogels-5,Concert,concertgebouw
19,19,2023-08-19T20:00:00+02:00,James Bond in Concert,21.0,https://www.concertgebouw.nl/en/concerts/2621649-james-bond-in-concert,Concert,concertgebouw
20,20,2023-08-20T12:00:00+02:00,Family Concert: Vreemde Vogels (5+),16.0,https://www.concertgebouw.nl/en/concerts/2621377-family-concert-vreemde-vogels-5,Concert,concertgebouw
21,21,2023-08-20T20:00:00+02:00,Pianist Yunchan Lim: Chopin and Tchaikovsky,26.0,https://www.concertgebouw.nl/en/concerts/2626124-pianist-yunchan-lim-chopin-and-tchaikovsky,Concert,concertgebouw
22,22,2023-08-21T20:00:00+02:00,"Busch Trio: Beethoven, Dvořák and Haydn",32.0,https://www.concertgebouw.nl/en/concerts/2626125-busch-trio-beethoven-dvořák-and-haydn,Concert,concertgebouw
23,23,2023-08-22T20:00:00+02:00,Orchestra Baobab,25.0,https://www.concertgebouw.nl/en/concerts/2626127-orchestra-baobab,Concert,concertgebouw
24,24,2023-08-22T20:00:00+02:00,VOŁOSI,26.0,https://www.concertgebouw.nl/en/concerts/2626126-vołosi,Concert,concertgebouw
25,25,2023-08-23T20:00:00+02:00,Musorgski's Pictures & María Dueñas plays Bruch's Violin Concerto,21.0,https://www.concertgebouw.nl/en/concerts/2626128-musorgskis-pictures-maría-dueñas-plays-bruchs-violin-concerto,Concert,concertgebouw
26,26,2023-08-24T20:00:00+02:00,Concertgebouworkest & Iván Fischer: Mahler's Symphony No. 7,35.0,https://www.concertgebouw.nl/en/concerts/2626129-concertgebouworkest-iván-fischer-mahlers-symphony-no-7,Concert,concertgebouw
27,27,2023-08-25T19:30:00+02:00,Brintex Collective - Basement Sessions,15.0,https://www.concertgebouw.nl/en/concerts/2626880-brintex-collective-basement-sessions,Concert,concertgebouw
28,28,2023-08-25T20:00:00+02:00,Josef Špaček plays Dvořák's Violin Concerto,25.0,https://www.concertgebouw.nl/en/concerts/2626130-josef-špaček-plays-dvořáks-violin-concerto,Concert,concertgebouw
29,29,2023-08-25T21:30:00+02:00,Brintex Collective - Basement Sessions,15.0,https://www.concertgebouw.nl/en/concerts/2626881-brintex-collective-basement-sessions,Concert,concertgebouw
