,index,start_date_time,title,price,ticket_url,type,venue
0,0,2023-08-11 12:00:00,Elemental (2d NL),10,TBD,Bioscoop,fchyena
1,1,2023-08-12 12:00:00,Elemental (2d NL),10,TBD,Bioscoop,fchyena
2,2,2023-08-13 12:00:00,Elemental (2d NL),10,TBD,Bioscoop,fchyena
3,3,2023-08-14 12:00:00,Elemental (2d NL),10,TBD,Bioscoop,fchyena
4,4,2023-08-15 12:00:00,Elemental (2d NL),10,TBD,Bioscoop,fchyena
5,5,2023-08-16 12:00:00,Elemental (2d NL),10,TBD,Bioscoop,fchyena
6,6,2023-08-11 12:00:00,Elemental (2d NL),10,TBD,Bioscoop,fchyena
7,7,2023-08-11 12:30:00,"Ruby Gillman, Teenage Kraken (2D NL)",10,TBD,Bioscoop,fchyena
8,8,2023-08-11 14:15:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
9,9,2023-08-11 14:30:00,Oppenheimer,10,TBD,Bioscoop,fchyena
10,10,2023-08-11 16:45:00,Barbie,10,TBD,Bioscoop,fchyena
11,11,2023-08-11 18:00:00,Barbie,10,TBD,Bioscoop,fchyena
12,12,2023-08-11 19:00:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
13,13,2023-08-11 20:15:00,Oppenheimer,10,TBD,Bioscoop,fchyena
14,14,2023-08-11 21:30:00,Barbie,10,TBD,Bioscoop,fchyena
15,15,2023-08-12 12:00:00,Elemental (2d NL),10,TBD,Bioscoop,fchyena
16,16,2023-08-12 12:15:00,Ladybug & Cat Noir: De Film,10,TBD,Bioscoop,fchyena
17,17,2023-08-12 14:15:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
18,18,2023-08-12 14:30:00,Oppenheimer,10,TBD,Bioscoop,fchyena
19,19,2023-08-12 16:45:00,Barbie,10,TBD,Bioscoop,fchyena
20,20,2023-08-12 18:00:00,Barbie,10,TBD,Bioscoop,fchyena
21,21,2023-08-12 19:00:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
22,22,2023-08-12 20:15:00,Oppenheimer,10,TBD,Bioscoop,fchyena
23,23,2023-08-12 21:30:00,Barbie,10,TBD,Bioscoop,fchyena
24,24,2023-08-13 12:00:00,Elemental (2d NL),10,TBD,Bioscoop,fchyena
25,25,2023-08-13 12:30:00,"Ruby Gillman, Teenage Kraken (2D NL)",10,TBD,Bioscoop,fchyena
26,26,2023-08-13 14:15:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
27,27,2023-08-13 14:30:00,Oppenheimer,10,TBD,Bioscoop,fchyena
28,28,2023-08-13 16:45:00,Barbie,10,TBD,Bioscoop,fchyena
29,29,2023-08-13 18:00:00,Barbie,10,TBD,Bioscoop,fchyena
30,30,2023-08-13 19:00:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
31,31,2023-08-13 20:15:00,Oppenheimer,10,TBD,Bioscoop,fchyena
32,32,2023-08-13 21:30:00,Barbie,10,TBD,Bioscoop,fchyena
33,33,2023-08-14 12:00:00,Elemental (2d NL),10,TBD,Bioscoop,fchyena
34,34,2023-08-14 12:15:00,Ladybug & Cat Noir: De Film,10,TBD,Bioscoop,fchyena
35,35,2023-08-14 14:15:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
36,36,2023-08-14 14:30:00,Oppenheimer,10,TBD,Bioscoop,fchyena
37,37,2023-08-14 16:45:00,Barbie,10,TBD,Bioscoop,fchyena
38,38,2023-08-14 18:00:00,Barbie,10,TBD,Bioscoop,fchyena
39,39,2023-08-14 19:00:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
40,40,2023-08-14 20:15:00,Oppenheimer,10,TBD,Bioscoop,fchyena
41,41,2023-08-14 21:30:00,Barbie,10,TBD,Bioscoop,fchyena
42,42,2023-08-15 12:00:00,Elemental (2d NL),10,TBD,Bioscoop,fchyena
43,43,2023-08-15 12:30:00,"Ruby Gillman, Teenage Kraken (2D NL)",10,TBD,Bioscoop,fchyena
44,44,2023-08-15 14:15:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
45,45,2023-08-15 14:30:00,Oppenheimer,10,TBD,Bioscoop,fchyena
46,46,2023-08-15 16:45:00,Barbie,10,TBD,Bioscoop,fchyena
47,47,2023-08-15 18:00:00,Barbie,10,TBD,Bioscoop,fchyena
48,48,2023-08-15 19:00:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
49,49,2023-08-15 20:15:00,Oppenheimer,10,TBD,Bioscoop,fchyena
50,50,2023-08-15 21:30:00,Barbie,10,TBD,Bioscoop,fchyena
51,51,2023-08-16 12:00:00,Elemental (2d NL),10,TBD,Bioscoop,fchyena
52,52,2023-08-16 12:30:00,"Ruby Gillman, Teenage Kraken (2D NL)",10,TBD,Bioscoop,fchyena
53,53,2023-08-16 14:15:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
54,54,2023-08-16 14:30:00,Oppenheimer,10,TBD,Bioscoop,fchyena
55,55,2023-08-16 16:45:00,Barbie,10,TBD,Bioscoop,fchyena
56,56,2023-08-16 18:00:00,Barbie,10,TBD,Bioscoop,fchyena
57,57,2023-08-16 19:00:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
58,58,2023-08-16 20:15:00,Oppenheimer,10,TBD,Bioscoop,fchyena
59,59,2023-08-16 21:30:00,Barbie,10,TBD,Bioscoop,fchyena
60,60,2023-08-11 14:15:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
61,61,2023-08-11 19:00:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
62,62,2023-08-12 14:15:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
63,63,2023-08-12 19:00:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
64,64,2023-08-13 14:15:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
65,65,2023-08-13 19:00:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
66,66,2023-08-14 14:15:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
67,67,2023-08-14 19:00:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
68,68,2023-08-15 14:15:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
69,69,2023-08-15 19:00:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
70,70,2023-08-16 14:15:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
71,71,2023-08-16 19:00:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
72,72,2023-08-11 14:30:00,Oppenheimer,10,TBD,Bioscoop,fchyena
73,73,2023-08-11 20:15:00,Oppenheimer,10,TBD,Bioscoop,fchyena
74,74,2023-08-12 14:30:00,Oppenheimer,10,TBD,Bioscoop,fchyena
75,75,2023-08-12 20:15:00,Oppenheimer,10,TBD,Bioscoop,fchyena
76,76,2023-08-13 14:30:00,Oppenheimer,10,TBD,Bioscoop,fchyena
77,77,2023-08-13 20:15:00,Oppenheimer,10,TBD,Bioscoop,fchyena
78,78,2023-08-14 14:30:00,Oppenheimer,10,TBD,Bioscoop,fchyena
79,79,2023-08-14 20:15:00,Oppenheimer,10,TBD,Bioscoop,fchyena
