,index,start_date_time,title,price,ticket_url,type,venue
0,0,2023-08-11T21:30:00.000000Z,Fiesta Macumba,30,http://www.melkweg.nl//nl/agenda/fiesta-macumba-11-08-2023,Concert,melkweg
1,1,2023-08-12T21:59:00.000000Z,Encore,30,http://www.melkweg.nl//nl/agenda/encore-12-08-2023,Concert,melkweg
2,2,2023-08-13T16:30:00.000000Z,Heaven Shall Burn,30,http://www.melkweg.nl//nl/agenda/heaven-shall-burn-13-08-2023,Concert,melkweg
3,3,2023-08-14T17:30:00.000000Z,Danny Ocean,30,http://www.melkweg.nl//nl/agenda/danny-ocean-14-08-2023,Concert,melkweg
4,4,2023-08-14T21:00:00.000000Z,Cheeky Monday: NAVIGATOR!,30,http://www.melkweg.nl//nl/agenda/cheeky-monday-14-08-2023,Concert,melkweg
5,5,2023-08-15T16:30:00.000000Z,Pennywise,30,http://www.melkweg.nl//nl/agenda/pennywise-15-08-2023,Concert,melkweg
6,6,2023-08-15T21:30:00.000000Z,Techno Tuesday,30,http://www.melkweg.nl//nl/agenda/techno-tuesday-15-08-2023,Concert,melkweg
7,7,2023-08-18T21:30:00.000000Z,Gowtu x La Rouge: White Edition,30,http://www.melkweg.nl//nl/agenda/gowtu-18-08-2023,Concert,melkweg
8,8,2023-08-19T21:59:00.000000Z,Encore,30,http://www.melkweg.nl//nl/agenda/encore-19-08-2023,Concert,melkweg
9,9,2023-08-21T21:00:00.000000Z,Cheeky Monday: CROSSY & AFT RECORDS!,30,http://www.melkweg.nl//nl/agenda/cheeky-monday-21-08-2023,Concert,melkweg
10,10,2023-08-22T21:30:00.000000Z,Techno Tuesday,30,http://www.melkweg.nl//nl/agenda/techno-tuesday-22-08-2023,Concert,melkweg
11,11,2023-08-25T21:00:00.000000Z,Final Party ESN,30,http://www.melkweg.nl//nl/agenda/esn-intreefeest-25-08-2023,Concert,melkweg
12,12,2023-08-25T21:30:00.000000Z,Reggae Party,30,http://www.melkweg.nl//nl/agenda/reggae-party-25-08-2023,Concert,melkweg
13,13,2023-08-26T21:00:00.000000Z,Kiss All Hipsters,30,http://www.melkweg.nl//nl/agenda/kiss-all-hipsters-26-08-2023,Concert,melkweg
14,14,2023-08-26T21:59:00.000000Z,Encore,30,http://www.melkweg.nl//nl/agenda/encore-26-08-2023,Concert,melkweg
15,15,2023-08-27T11:00:00.000000Z,Ailey (2021),30,http://www.melkweg.nl//nl/agenda/ailey-27-08-2023,Concert,melkweg
16,16,2023-08-27T13:00:00.000000Z,Seminar: The History of Hip-hop Dance in the Netherlands,30,http://www.melkweg.nl//nl/agenda/seminar-the-history-of-hiphop-dance-in-the-netherlands-27-08-2023,Concert,melkweg
17,17,2023-08-27T17:00:00.000000Z,PSYCHO / YoungBoss,30,http://www.melkweg.nl//nl/agenda/psycho-young-boss-27-08-2023,Concert,melkweg
18,18,2023-08-27T17:30:00.000000Z,Daniel Romano's Outfit,30,http://www.melkweg.nl//nl/agenda/daniel-romanos-outfit-27-08-2023,Concert,melkweg
19,19,2023-08-28T19:45:00.000000Z,Unitas Introfeest,30,http://www.melkweg.nl//nl/agenda/unitas-introfeest-28-08-2023,Concert,melkweg
20,20,2023-08-28T21:00:00.000000Z,Cheeky Monday: COCO BRYCE!,30,http://www.melkweg.nl//nl/agenda/cheeky-monday-28-08-2023,Concert,melkweg
21,21,2023-08-29T20:00:00.000000Z,Slotfeest VU IDEE week,30,http://www.melkweg.nl//nl/agenda/slotfeest-vu-idee-week-29-08-2023,Concert,melkweg
22,22,2023-08-30T21:30:00.000000Z,Techno Tuesday,30,http://www.melkweg.nl//nl/agenda/techno-tuesday-30-08-2023,Concert,melkweg
23,23,2023-08-31T15:00:00.000000Z,Wat is die MO - luistersessie,30,http://www.melkweg.nl//nl/agenda/wat-is-die-mo-luistersessie-31-08-2023,Concert,melkweg
24,24,2023-09-01T18:00:00.000000Z,Model Man,30,http://www.melkweg.nl//nl/agenda/model-man-01-09-2023,Concert,melkweg
25,25,2023-09-01T21:00:00.000000Z,Eindfeest Intree UvA,30,http://www.melkweg.nl//nl/agenda/eindfeest-intree-uva-01-09-2023,Concert,melkweg
26,26,2023-09-02T17:00:00.000000Z,VroegZat,30,http://www.melkweg.nl//nl/agenda/vroegzat-02-09-2023,Concert,melkweg
27,27,2023-09-02T18:00:00.000000Z,Netta,30,http://www.melkweg.nl//nl/agenda/netta-02-09-2023,Concert,melkweg
28,28,2023-09-02T21:30:00.000000Z,Olá Brazil!,30,http://www.melkweg.nl//nl/agenda/ola-brazil-02-09-2023,Concert,melkweg
29,29,2023-09-03T17:00:00.000000Z,Jon Pardi,30,http://www.melkweg.nl//nl/agenda/jon-pardi-03-09-2023,Concert,melkweg
30,30,2023-09-05T17:00:00.000000Z,Cobra Man,30,http://www.melkweg.nl//nl/agenda/cobra-man-05-09-2023,Concert,melkweg
31,31,2023-09-05T21:30:00.000000Z,Techno Tuesday,30,http://www.melkweg.nl//nl/agenda/techno-tuesday-05-09-2023,Concert,melkweg
32,32,2023-09-06T17:00:00.000000Z,RUEL,30,http://www.melkweg.nl//nl/agenda/ruel-06-09-2023,Concert,melkweg
33,33,2023-09-06T17:30:00.000000Z,Robert Jon & The Wreck,30,http://www.melkweg.nl//nl/agenda/robert-jon-the-wreck-06-09-2023,Concert,melkweg
34,34,2023-09-07T15:00:00.000000Z,Arty Party,30,http://www.melkweg.nl//nl/agenda/arty-party-07-09-2023,Concert,melkweg
35,35,2023-09-07T15:00:00.000000Z,Arty Party Photography Graduates 2023,30,http://www.melkweg.nl//nl/agenda/arty-party-photography-graduates-07-09-2023,Concert,melkweg
36,36,2023-09-08T09:00:00.000000Z,Arty Party Photography Graduates 2023,30,http://www.melkweg.nl//nl/agenda/arty-party-photography-graduates-2023-08-09-2023,Concert,melkweg
37,37,2023-09-08T17:30:00.000000Z,Morgan Wade,30,http://www.melkweg.nl//nl/agenda/morgan-wade-08-09-2023,Concert,melkweg
38,38,2023-09-08T18:00:00.000000Z,Sean McConnell,30,http://www.melkweg.nl//nl/agenda/sean-mcconnell-08-09-2023,Concert,melkweg
39,39,2023-09-09T21:30:00.000000Z,Hard Attack,30,http://www.melkweg.nl//nl/agenda/hard-attack-09-09-2023,Concert,melkweg
40,40,2023-09-10T17:30:00.000000Z,Noor,30,http://www.melkweg.nl//nl/agenda/noor-10-09-2023,Concert,melkweg
41,41,2023-09-11T17:00:00.000000Z,Olivia Dean,30,http://www.melkweg.nl//nl/agenda/olivia-dean-11-09-2023,Concert,melkweg
42,42,2023-09-12T17:00:00.000000Z,Amaarae,30,http://www.melkweg.nl//nl/agenda/amaarae-12-09-2023,Concert,melkweg
43,43,2023-09-12T17:00:00.000000Z,Strangeways,30,http://www.melkweg.nl//nl/agenda/strangeways-12-09-2023,Concert,melkweg
