,__typename,id,uri,title,startDateTime,date,subtitle,sort,eventStatus,highlight,supportAct,announceSupport,soldOut,location,image
0,eventType,1305852,program/dekmantel-festival-aan-t-ij/1305852,Dekmantel Festival aan 't IJ,2023-08-03T18:00:00+02:00,2023-08-03,Club night during Dekmantel Festival,"['1691078400000', '1305852']",,True,,2023-08-03T21:32:11+02:00,False,"[{'id': '37388', 'title': 'Parallel'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/1306018/eyJidWNrZXQiOiJhc3NldHMucGFyYWxsZWwuYW0iLCJrZXkiOiJwYXJhbGxlbC5wbmciLCJlZGl0cyI6eyJwbmciOnsicXVhbGl0.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/1306018/eyJidWNrZXQiOiJhc3NldHMucGFyYWxsZWwuYW0iLCJrZXkiOiJwYXJhbGxlbC5wbmciLCJlZGl0cyI6eyJwbmciOnsicXVhbGl0.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/1306018/eyJidWNrZXQiOiJhc3NldHMucGFyYWxsZWwuYW0iLCJrZXkiOiJwYXJhbGxlbC5wbmciLCJlZGl0cyI6eyJwbmciOnsicXVhbGl0.jpg'}]"
1,eventType,1307616,program/garden-by-day-x-oishis-takeover-celebrating-pride-context/1307616,GARDEN by Day x OISHĪ'S TAKE OVER CELEBRATING PRIDE,2023-08-04T17:00:00+02:00,2023-08-04,"Music, food and drinks in the garden","['1691161200000', '1307616']",,True,,2023-08-03T21:32:11+02:00,False,"[{'id': '1078907', 'title': 'GARDEN (Tolhuistuin)'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/1307624/eyJidWNrZXQiOiJhc3NldHMucGFyYWxsZWwuYW0iLCJrZXkiOiJnYXJkZW4tYmFubmVyLXctbG9nby5wbmciLCJlZGl0cyI6eyJw.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/1307624/eyJidWNrZXQiOiJhc3NldHMucGFyYWxsZWwuYW0iLCJrZXkiOiJnYXJkZW4tYmFubmVyLXctbG9nby5wbmciLCJlZGl0cyI6eyJw.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/1307624/eyJidWNrZXQiOiJhc3NldHMucGFyYWxsZWwuYW0iLCJrZXkiOiJnYXJkZW4tYmFubmVyLXctbG9nby5wbmciLCJlZGl0cyI6eyJw.jpg'}]"
2,eventType,1306167,program/the-road-gone-mad/1306167,The Road Gone Mad,2023-08-04T19:30:00+02:00,2023-08-04,Free admission - Book launch by Debra Norma Mitchell,"['1691170200000', '1306167']",confirmed,True,,2023-08-03T21:32:11+02:00,False,"[{'id': '37310', 'title': 'Paradiso'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/1306636/TheRoadGoneMad-afbeelding.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/1306636/TheRoadGoneMad-afbeelding.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/1306636/TheRoadGoneMad-afbeelding.jpg'}]"
3,eventType,1220096,program/wave-cave/1220096,WaveCave,2023-08-04T22:00:00+02:00,2023-08-04,Dansen in de kelder op de beste new wave platen,"['1691179200000', '1220096']",confirmed,False,,2023-08-03T21:32:11+02:00,False,"[{'id': '37310', 'title': 'Paradiso'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/facebook-wavecave.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/facebook-wavecave.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/facebook-wavecave.jpg'}]"
4,eventType,1220100,program/we-love-80s/1220100,We Love 80s,2023-08-04T22:00:00+02:00,2023-08-04,Club night filled with gems from the 80s,"['1691179200000', '1220100']",confirmed,False,,2023-08-03T21:32:11+02:00,False,"[{'id': '37310', 'title': 'Paradiso'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/we-love-80s-banner.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/we-love-80s-banner.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/we-love-80s-banner.jpg'}]"
5,eventType,1306241,program/garden-by-night-x-oishis-take-over-celebrating-pride/1306241,GARDEN by Night x OISHĪ'S TAKE OVER CELEBRATING PRIDE,2023-08-04T23:00:00+02:00,2023-08-04,Wekelijkse clubnacht in de zomer,"['1691182800000', '1306241']",confirmed,True,,2023-08-03T21:32:11+02:00,False,"[{'id': '37382', 'title': 'Tolhuistuin (tuin)'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/header-image-garden.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/header-image-garden.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/header-image-garden.jpg'}]"
6,eventType,1081476,program/fpq-3-planet-earth/1081476,FPQ <3 Mother Earth,2023-08-05T23:00:00+02:00,2023-08-05,Queer & Pride club night,"['1691269200000', '1081476']",confirmed,False,,2023-08-03T21:32:11+02:00,True,"[{'id': '37310', 'title': 'Paradiso'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/fpq-banner.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/fpq-banner.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/fpq-banner.jpg'}]"
7,eventType,1219755,program/bixaria/1219755,Bixaria,2023-08-05T23:00:00+02:00,2023-08-05,Brazilian queer club night,"['1691269200000', '1219755']",confirmed,True,,2023-08-03T21:32:11+02:00,False,"[{'id': '37388', 'title': 'Parallel'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/bixaria.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/bixaria.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/bixaria.jpg'}]"
8,eventType,1081516,program/rapido-pride-edition-2023/1081516,Rapido - Pride Edition 2023,2023-08-06T15:00:00+02:00,2023-08-06,Rapido celebrates pride in Paradiso,"['1691326800000', '1081516']",confirmed,False,,2023-08-03T21:32:11+02:00,False,"[{'id': '37310', 'title': 'Paradiso'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/rapido-pride-editie.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/rapido-pride-editie.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/rapido-pride-editie.jpg'}]"
9,eventType,1219349,program/ricciotti-ensemble-plan-de-campagne/1219349,ricciotti ensemble - plan de campagne,2023-08-06T19:30:00+02:00,2023-08-06,Free admission - Street symphony orchestra pays tribute to the Dutch countryside,"['1691343000000', '1219349']",confirmed,True,,2023-08-03T21:32:11+02:00,False,"[{'id': '37314', 'title': 'Tolhuistuin'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/Ricciotti-Persfoto-LR.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/Ricciotti-Persfoto-LR.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/Ricciotti-Persfoto-LR.jpg'}]"
