,type,venue,start_date_time,title,price,ticket_url
0,Bioscoop,Studio K,2023-08-03 21:30:00,Barbie,12,https://studio-k.nu/film/barbie/
0,Bioscoop,Studio K,2023-08-04 11:40:00,Barbie,12,https://studio-k.nu/film/barbie/
1,Bioscoop,Studio K,2023-08-04 11:45:00,Le paradis,12,https://studio-k.nu/film/le-paradis/
2,Bioscoop,Studio K,2023-08-04 11:55:00,Mission: Impossible – Dead Reckoning Part One,12,https://studio-k.nu/film/mission-impossible-dead-reckoning-part-one/
3,Bioscoop,Studio K,2023-08-04 13:40:00,Barbie,12,https://studio-k.nu/film/barbie/
4,Bioscoop,Studio K,2023-08-04 14:00:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
5,Bioscoop,Studio K,2023-08-04 15:05:00,Elemental (NL),12,https://studio-k.nu/film/elemental-nl/
6,Bioscoop,Studio K,2023-08-04 16:00:00,Barbie,12,https://studio-k.nu/film/barbie/
7,Bioscoop,Studio K,2023-08-04 17:15:00,Le paradis,12,https://studio-k.nu/film/le-paradis/
8,Bioscoop,Studio K,2023-08-04 17:30:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
9,Bioscoop,Studio K,2023-08-04 18:20:00,Barbie,12,https://studio-k.nu/film/barbie/
10,Bioscoop,Studio K,2023-08-04 19:10:00,Barbie,12,https://studio-k.nu/film/barbie/
11,Bioscoop,Studio K,2023-08-04 20:40:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
12,Bioscoop,Studio K,2023-08-04 21:00:00,Asteroid City,12,https://studio-k.nu/film/asteroid-city/
13,Bioscoop,Studio K,2023-08-04 21:30:00,Barbie,12,https://studio-k.nu/film/barbie/
0,Bioscoop,Studio K,2023-08-05 11:30:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
1,Bioscoop,Studio K,2023-08-05 11:30:00,Le paradis,12,https://studio-k.nu/film/le-paradis/
2,Bioscoop,Studio K,2023-08-05 12:25:00,Barbie,12,https://studio-k.nu/film/barbie/
3,Bioscoop,Studio K,2023-08-05 13:25:00,Elemental (NL),12,https://studio-k.nu/film/elemental-nl/
4,Bioscoop,Studio K,2023-08-05 14:45:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
5,Bioscoop,Studio K,2023-08-05 14:55:00,Barbie,12,https://studio-k.nu/film/barbie/
6,Bioscoop,Studio K,2023-08-05 15:35:00,Le paradis,12,https://studio-k.nu/film/le-paradis/
7,Bioscoop,Studio K,2023-08-05 17:15:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
8,Bioscoop,Studio K,2023-08-05 17:30:00,She Done Him Wrong (1933),12,https://studio-k.nu/film/she-done-him-wrong-1933/
9,Bioscoop,Studio K,2023-08-05 18:20:00,Mission: Impossible – Dead Reckoning Part One,12,https://studio-k.nu/film/mission-impossible-dead-reckoning-part-one/
10,Bioscoop,Studio K,2023-08-05 18:55:00,Barbie,12,https://studio-k.nu/film/barbie/
11,Bioscoop,Studio K,2023-08-05 20:45:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
12,Bioscoop,Studio K,2023-08-05 21:15:00,Barbie,12,https://studio-k.nu/film/barbie/
13,Bioscoop,Studio K,2023-08-05 21:30:00,Asteroid City,12,https://studio-k.nu/film/asteroid-city/
0,Bioscoop,Studio K,2023-08-06 12:15:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
1,Bioscoop,Studio K,2023-08-06 12:45:00,Barbie,12,https://studio-k.nu/film/barbie/
2,Bioscoop,Studio K,2023-08-06 12:55:00,Le paradis,12,https://studio-k.nu/film/le-paradis/
3,Bioscoop,Studio K,2023-08-06 14:50:00,Barbie,12,https://studio-k.nu/film/barbie/
4,Bioscoop,Studio K,2023-08-06 15:05:00,Elemental (NL),12,https://studio-k.nu/film/elemental-nl/
5,Bioscoop,Studio K,2023-08-06 15:45:00,Barbie,12,https://studio-k.nu/film/barbie/
6,Bioscoop,Studio K,2023-08-06 17:10:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
7,Bioscoop,Studio K,2023-08-06 17:15:00,Le paradis (ENG SUBS),12,https://studio-k.nu/film/le-paradis-eng-subs/
8,Bioscoop,Studio K,2023-08-06 18:05:00,Mission: Impossible – Dead Reckoning Part One,12,https://studio-k.nu/film/mission-impossible-dead-reckoning-part-one/
9,Bioscoop,Studio K,2023-08-06 19:10:00,Barbie,12,https://studio-k.nu/film/barbie/
10,Bioscoop,Studio K,2023-08-06 20:40:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
11,Bioscoop,Studio K,2023-08-06 21:15:00,Asteroid City,12,https://studio-k.nu/film/asteroid-city/
12,Bioscoop,Studio K,2023-08-06 21:30:00,Barbie,12,https://studio-k.nu/film/barbie/
0,Bioscoop,Studio K,2023-08-07 11:40:00,Barbie,12,https://studio-k.nu/film/barbie/
1,Bioscoop,Studio K,2023-08-07 11:50:00,Le paradis,12,https://studio-k.nu/film/le-paradis/
2,Bioscoop,Studio K,2023-08-07 11:55:00,Mission: Impossible – Dead Reckoning Part One,12,https://studio-k.nu/film/mission-impossible-dead-reckoning-part-one/
3,Bioscoop,Studio K,2023-08-07 13:45:00,Asteroid City,12,https://studio-k.nu/film/asteroid-city/
4,Bioscoop,Studio K,2023-08-07 14:00:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
5,Bioscoop,Studio K,2023-08-07 15:05:00,Elemental (NL),12,https://studio-k.nu/film/elemental-nl/
6,Bioscoop,Studio K,2023-08-07 16:00:00,Barbie,12,https://studio-k.nu/film/barbie/
7,Bioscoop,Studio K,2023-08-07 17:15:00,Le paradis (ENG SUBS),12,https://studio-k.nu/film/le-paradis-eng-subs/
8,Bioscoop,Studio K,2023-08-07 17:30:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
9,Bioscoop,Studio K,2023-08-07 18:20:00,Barbie,12,https://studio-k.nu/film/barbie/
10,Bioscoop,Studio K,2023-08-07 19:10:00,Barbie,12,https://studio-k.nu/film/barbie/
11,Bioscoop,Studio K,2023-08-07 20:40:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
12,Bioscoop,Studio K,2023-08-07 21:00:00,How to Blow Up a Pipeline,12,https://studio-k.nu/film/how-to-blow-up-a-pipeline/
13,Bioscoop,Studio K,2023-08-07 21:30:00,Barbie,12,https://studio-k.nu/film/barbie/
0,Bioscoop,Studio K,2023-08-08 11:50:00,Le paradis,12,https://studio-k.nu/film/le-paradis/
1,Bioscoop,Studio K,2023-08-08 11:55:00,Mission: Impossible – Dead Reckoning Part One,12,https://studio-k.nu/film/mission-impossible-dead-reckoning-part-one/
2,Bioscoop,Studio K,2023-08-08 11:55:00,Barbie,12,https://studio-k.nu/film/barbie/
3,Bioscoop,Studio K,2023-08-08 13:45:00,Asteroid City,12,https://studio-k.nu/film/asteroid-city/
4,Bioscoop,Studio K,2023-08-08 14:15:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
5,Bioscoop,Studio K,2023-08-08 15:05:00,Elemental (NL),12,https://studio-k.nu/film/elemental-nl/
6,Bioscoop,Studio K,2023-08-08 16:00:00,Barbie,12,https://studio-k.nu/film/barbie/
7,Bioscoop,Studio K,2023-08-08 17:15:00,Le paradis (ENG SUBS),12,https://studio-k.nu/film/le-paradis-eng-subs/
8,Bioscoop,Studio K,2023-08-08 17:45:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
9,Bioscoop,Studio K,2023-08-08 18:20:00,Barbie,12,https://studio-k.nu/film/barbie/
10,Bioscoop,Studio K,2023-08-08 19:10:00,Barbie,12,https://studio-k.nu/film/barbie/
11,Bioscoop,Studio K,2023-08-08 20:40:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
12,Bioscoop,Studio K,2023-08-08 21:15:00,Past Lives (ENG SUBS),12,https://studio-k.nu/film/past-lives-eng-subs/
13,Bioscoop,Studio K,2023-08-08 21:30:00,Barbie,12,https://studio-k.nu/film/barbie/
0,Bioscoop,Studio K,2023-08-09 11:40:00,Mission: Impossible – Dead Reckoning Part One,12,https://studio-k.nu/film/mission-impossible-dead-reckoning-part-one/
1,Bioscoop,Studio K,2023-08-09 11:50:00,Le paradis,12,https://studio-k.nu/film/le-paradis/
2,Bioscoop,Studio K,2023-08-09 12:10:00,Barbie,12,https://studio-k.nu/film/barbie/
3,Bioscoop,Studio K,2023-08-09 13:45:00,Asteroid City,12,https://studio-k.nu/film/asteroid-city/
4,Bioscoop,Studio K,2023-08-09 14:30:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
5,Bioscoop,Studio K,2023-08-09 14:50:00,Elemental (NL),12,https://studio-k.nu/film/elemental-nl/
6,Bioscoop,Studio K,2023-08-09 16:00:00,Barbie,12,https://studio-k.nu/film/barbie/
7,Bioscoop,Studio K,2023-08-09 17:00:00,Le paradis (ENG SUBS),12,https://studio-k.nu/film/le-paradis-eng-subs/
8,Bioscoop,Studio K,2023-08-09 18:00:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
9,Bioscoop,Studio K,2023-08-09 18:20:00,Barbie,12,https://studio-k.nu/film/barbie/
10,Bioscoop,Studio K,2023-08-09 18:55:00,Barbie,12,https://studio-k.nu/film/barbie/
11,Bioscoop,Studio K,2023-08-09 20:40:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
12,Bioscoop,Studio K,2023-08-09 21:15:00,Barbie,12,https://studio-k.nu/film/barbie/
13,Bioscoop,Studio K,2023-08-09 21:30:00,Woman in the Dunes (1964) • TALES FROM THE DESERT,12,https://studio-k.nu/film/woman-in-the-dunes-1964-tales-from-the-desert/
0,Bioscoop,Studio K,2023-08-12 16:40:00,La Piscine (1969) • TALES FROM THE DESERT,12,https://studio-k.nu/film/la-piscine-1969-tales-from-the-desert/
